Familia profesional,Código QP,Cualificación Profesional,Nivel,Código Certificado,Certificado Profesional,Código y certificado
Actividades Físicas y Deportivas,AFD096_2,Socorrismo en instalaciones acuáticas,2,AFDP0109,Socorrismo en instalaciones acuáticas,AFDP0109 Socorrismo en instalaciones acuáticas
Actividades Físicas y Deportivas,AFD097_3,Acondicionamiento físico en sala de entrenamiento polivalente,3,AFDA0210,Acondicionamiento físico en sala de entrenamiento polivalente,AFDA0210 Acondicionamiento físico en sala de entrenamiento polivalente
Actividades Físicas y Deportivas,AFD159_2,Guía por itinerarios de baja y media montaña,2,AFDA0611,Guía por itinerarios de baja y media montaña,AFDA0611 Guía por itinerarios de baja y media montaña
Actividades Físicas y Deportivas,AFD162_3,Acondicionamiento físico en grupo con soporte musical,3,AFDA0110,Acondicionamiento físico en grupo con soporte musical,AFDA0110 Acondicionamiento físico en grupo con soporte musical
Actividades Físicas y Deportivas,AFD340_2,Socorrismo en espacios acuáticos naturales,2,AFDP0209,Socorrismo en espacios acuáticos naturales,AFDP0209 Socorrismo en espacios acuáticos naturales
Actividades Físicas y Deportivas,AFD341_3,Actividades de natación,3,AFDA0310,Actividades de natación,AFDA0310 Actividades de natación
Actividades Físicas y Deportivas,AFD500_1,Operaciones  auxiliares en la organización de actividades y funcionamiento de instalaciones deportivas,1,AFDA0511,Operaciones  auxiliares en la organización de actividades y funcionamiento de instalaciones deportivas,AFDA0511 Operaciones  auxiliares en la organización de actividades y funcionamiento de instalaciones deportivas
Actividades Físicas y Deportivas,AFD509_3,Animación físico-deportiva y recreativa,3,AFDA0211,Animación físico-deportiva y recreativa,AFDA0211 Animación físico-deportiva y recreativa
Actividades Físicas y Deportivas,AFD510_3,Animación físico-deportiva y recreativa para personas con discapacidad,3,AFDA0411,Animación físicodeportiva y recreativa para personas con discapacidad,AFDA0411 Animación físicodeportiva y recreativa para personas con discapacidad
Actividades Físicas y Deportivas,AFD539_3,Coordinación de servicios de socorrismo en instalaciones y espacios naturales acuáticos ,3,AFDP0211,Coordinación de servicios de socorrismo en instalaciones y espacios naturales acuáticos,AFDP0211 Coordinación de servicios de socorrismo en instalaciones y espacios naturales acuáticos
Actividades Físicas y Deportivas,AFD616_3,Instrucción en yoga,3,AFDA0311,Instrucción en yoga,AFDA0311 Instrucción en yoga
Administración y Gestión,ADG082_3,Gestión contable y de auditoría,3,ADGD0108,Gestión contable y gestión administrativa para auditoría,ADGD0108 Gestión contable y gestión administrativa para auditoría
Administración y Gestión,ADG084_3,Administración de recursos humanos,3,ADGD0208,Gestión integrada de recursos humanos,ADGD0208 Gestión integrada de recursos humanos
Administración y Gestión,ADG157_3,Gestión financiera,3,ADGN0108,Financiación de empresas,ADGN0108 Financiación de empresas
Administración y Gestión,ADG305_1,Operaciones auxiliares de servicios administrativos y generales ,1,ADGG0408,Operaciones auxiliares de servicios administrativos y generales,ADGG0408 Operaciones auxiliares de servicios administrativos y generales
Administración y Gestión,ADG306_1,Operaciones de grabación y tratamiento de datos y documentos  ,1,ADGG0508,Operaciones de grabación y tratamiento de datos y documentos,ADGG0508 Operaciones de grabación y tratamiento de datos y documentos
Administración y Gestión,ADG307_2,Actividades administrativas de recepción y relación con el cliente ,2,ADGG0208,Actividades administrativas en la relación con el cliente,ADGG0208 Actividades administrativas en la relación con el cliente
Administración y Gestión,ADG308_2,Actividades de gestión administrativa,2,ADGD0308,Actividades de gestión administrativa,ADGD0308 Actividades de gestión administrativa
Administración y Gestión,ADG309_3,Asistencia a la dirección,3,ADGG0108,Asistencia a la dirección,ADGG0108 Asistencia a la dirección
Administración y Gestión,ADG310_3,Asistencia documental y de gestión en despachos y oficinas,3,ADGG0308,Asistencia documental y de gestión en despachos y oficinas,ADGG0308 Asistencia documental y de gestión en despachos y oficinas
Administración y Gestión,ADG543_3,Asistencia en la gestión de los procedimientos tributarios,3,ADGD0110,Asistencia en la gestión de los procedimientos tributarios,ADGD0110 Asistencia en la gestión de los procedimientos tributarios
Administración y Gestión,ADG544_3,Creación y gestión de microempresas,3,ADGD0210,Creación y gestión de microempresas,ADGD0210 Creación y gestión de microempresas
Agraria,AGA002_2,Producción porcina intensiva ,2,"AGAP0108
AGAP0208","Producción porcina de reproducción y cría
Producción porcina de recría y cebo","AGAP0108 Producción porcina de reproducción y cría
AGAP0208 Producción porcina de recría y cebo"
Agraria ,AGA003_3,Jardinería y restauración del paisaje,3,AGAO0308,Jardinería y restauración del paisaje,AGAO0308 Jardinería y restauración del paisaje
Agraria,AGA163_1,Actividades auxiliares en agricultura,1,AGAX0208,Actividades auxiliares en agricultura,AGAX0208 Actividades auxiliares en agricultura
Agraria,AGA164_1,"Actividades auxiliares en viveros, jardines y centros de jardinería ",1,AGAO0108,"Actividades auxiliares en viveros, jardines y centros de jardinería","AGAO0108 Actividades auxiliares en viveros, jardines y centros de jardinería"
Agraria,AGA165_2,Cultivos herbáceos,2,AGAC0108,Cultivos herbáceos,AGAC0108 Cultivos herbáceos
Agraria,AGA166_2,Cultivos leñosos,2,AGAF0108,Fruticultura,AGAF0108 Fruticultura
Agraria,AGA167_2,Horticultura y floricultura,2,AGAH0108,Horticultura y floricultura,AGAH0108 Horticultura y floricultura
Agraria,AGA168_2,Instalación y mantenimiento de jardines y zonas verdes,2,AGAO0208,Instalación y mantenimiento de jardines y zonas verdes,AGAO0208 Instalación y mantenimiento de jardines y zonas verdes
Agraria,AGA169_3,Cría de caballos,3,AGAN0208,Cría de caballos,AGAN0208 Cría de caballos
Agraria,AGA224_1,Actividades auxiliares en ganadería,1,AGAX0108,Actividades auxiliares en ganadería,AGAX0108 Actividades auxiliares en ganadería
Agraria,AGA225_2,Agricultura ecológica,2,AGAU0108,Agricultura ecológica,AGAU0108 Agricultura ecológica
Agraria,AGA227_2,Ganadería ecológica,2,AGAN0108,Ganadería ecológica,AGAN0108 Ganadería ecológica
Agraria ,AGA228_3,Gestión de repoblaciones forestales y de tratamientos silvícolas ,3,AGAR0109,Gestión de repoblaciones forestales y de tratamientos silvícolas,AGAR0109 Gestión de repoblaciones forestales y de tratamientos silvícolas
Agraria,AGA342_1,Actividades auxiliares en floristería,1,AGAJ0108,Actividades auxiliares en floristería,AGAJ0108 Actividades auxiliares en floristería
Agraria,AGA343_2,Aprovechamientos forestales,2,AGAR0108,Aprovechamientos forestales,AGAR0108 Aprovechamientos forestales
Agraria,AGA345_2,Repoblaciones forestales y tratamientos silvícolas,2,AGAR0208,Repoblaciones forestales y tratamientos silvícolas,AGAR0208 Repoblaciones forestales y tratamientos silvícolas
