Familia profesional,Código QP,Nombre cualificación,Nivel,Básico/Medio/Superior,Ciclo Formativo
Actividades Físicas y Deportivas,AFD500_1,Operaciones  auxiliares en la organización de actividades y funcionamiento de instalaciones deportivas,1,Ciclo Grado Básico,Técnico Básico en Acceso y Conservación en Instalaciones Deportivas
Actividades Físicas y Deportivas,AFD159_2,Guía por itinerarios de baja y media montaña,2,Ciclo Grado Medio,Técnico en Guía en el medio natural y de tiempo libre
Actividades Físicas y Deportivas,AFD160_2,Guía por itinerarios en bicicleta y vehículos de movilidad personal,2,Ciclo Grado Medio,Técnico en Guía en el medio natural y de tiempo libre
Actividades Físicas y Deportivas,AFD340_2,Socorrismo en espacios acuáticos naturales,2,Ciclo Grado Medio,Técnico en Guía en el medio natural y de tiempo libre
Actividades Físicas y Deportivas,AFD097_3,Acondicionamiento físico en sala de entrenamiento polivalente,3,Ciclo Grado Superior,Técnico Superior en Acondicionamiento Físico
Actividades Físicas y Deportivas,AFD162_3,Acondicionamiento físico en grupo con soporte musical,3,Ciclo Grado Superior,"Técnico Superior en Acondicionamiento Físico
Técnico Superior en Enseñanza y Animación Sociodeportiva"
Actividades Físicas y Deportivas,AFD509_3,Animación físico-deportiva y recreativa,3,Ciclo Grado Superior,Técnico Superior en Enseñanza y Animación Sociodeportiva
Actividades Físicas y Deportivas,AFD511_3,Acondicionamiento físico en el medio acuático,3,Ciclo Grado Superior,Técnico Superior en Acondicionamiento Físico
Administración y Gestión,ADG305_1,Operaciones auxiliares de servicios administrativos y generales,1,Ciclo Grado Básico,Técnico Básico en Servicios Administrativos
Administración y Gestión,ADG306_1,Operaciones de grabación y tratamiento de datos y documentos,1,Ciclo Grado Básico,"Técnico Básico en Servicios Administrativos
Técnico Básico en Servicios Comerciales"
Administración y Gestión,ADG307_2,Actividades administrativas de recepción y relación con el cliente,2,Ciclo Grado Medio,Técnico en Gestión Administrativa
Administración y Gestión,ADG308_2,Actividades de gestión administrativa,2,Ciclo Grado Medio,Técnico en Gestión Administrativa
Administración y Gestión,ADG082_3,Gestión contable y de auditoría,3,Ciclo Grado Superior,Técnico Superior en Administración y Finanzas
Administración y Gestión,ADG084_3,Administración de recursos humanos,3,Ciclo Grado Superior,"Técnico Superior en Administración y Finanzas
Técnico Superior en Asistencia a la Dirección"
Administración y Gestión,ADG157_3,Gestión financiera,3,Ciclo Grado Superior,"Técnico Superior en Administración y Finanzas
Técnico Superior en Asistencia a la Dirección"
Administración y Gestión,ADG309_3,Asistencia a la dirección,3,Ciclo Grado Superior,Técnico Superior en Asistencia a la Dirección
Administración y Gestión,ADG310_3,Asistencia documental y de gestión en despachos y oficinas,3,Ciclo Grado Superior,"Técnico Superior en Administración y Finanzas
Técnico Superior en Asistencia a la Dirección
Técnico Superior en Documentación y Administración Sanitarias"
Agraria,AGA163_1,Actividades auxiliares en agricultura,1,Ciclo Grado Básico,"Técnico Básico en Agro-jardinería y Composiciones Florales
Técnico Básico en Actividades Agropecuarias"
Agraria,AGA164_1,"Actividades auxiliares en viveros, jardines y centros de jardinería",1,Ciclo Grado Básico,Técnico Básico en Agro-jardinería y Composiciones Florales
Agraria,AGA342_1,Actividades auxiliares en floristería,1,Ciclo Grado Básico,Técnico Básico en Agro-jardinería y Composiciones Florales
Agraria,AGA398_1,Actividades auxiliares en aprovechamientos forestales,1,Ciclo Grado Básico,Técnico Básico en Aprovechamientos Forestales
Agraria,AGA399_1,Actividades auxiliares en conservación y mejora de montes,1,Ciclo Grado Básico,Técnico Básico en Aprovechamientos Forestales
Agraria,AGA002_2,Producción porcina intensiva,2,Ciclo Grado Medio,Técnico en Producción Agropecuaria
Agraria,AGA165_2,Cultivos herbáceos,2,Ciclo Grado Medio,Técnico en Producción Agropecuaria
Agraria,AGA166_2,Cultivos leñosos,2,Ciclo Grado Medio,Técnico en Producción Agropecuaria
Agraria,AGA167_2,Horticultura y floricultura,2,Ciclo Grado Medio,Técnico en Producción Agropecuaria
Agraria,AGA168_2,Instalación y mantenimiento de jardines y zonas verdes,2,Ciclo Grado Medio,Técnico en Jardinería y Floristería
Agraria,AGA225_2,Agricultura ecológica,2,Ciclo Grado Medio,Técnico en Producción Agroecológica
Agraria,AGA227_2,Ganadería ecológica,2,Ciclo Grado Medio,Técnico en Producción Agroecológica
Agraria,AGA343_2,Aprovechamientos forestales,2,Ciclo Grado Medio,Técnico en Aprovechamiento y Conservación del Medio Natural
Agraria,AGA345_2,Repoblaciones forestales y tratamientos silvícolas,2,Ciclo Grado Medio,Técnico en Aprovechamiento y Conservación del Medio Natural
Agraria,AGA457_2,Actividades de floristería,2,Ciclo Grado Medio,Técnico en Jardinería y Floristería
Agraria,AGA458_2,Mantenimiento y mejora del hábitat cinegético-piscícola,2,Ciclo Grado Medio,Técnico en Aprovechamiento y Conservación del Medio Natural
Agraria,AGA460_2,Producción de semillas y plantas en vivero,2,Ciclo Grado Medio,"Técnico en Jardinería y Floristería
Técnico en Aprovechamiento y Aonservación del Medio Natural"
Agraria,AGA683_2,Producción intensiva de bovinos,2,Ciclo Grado Medio,Técnico en Producción Agropecuaria
Agraria,AGA703_2,Producción avícola,2,Ciclo Grado Medio,Técnico en Producción Agropecuaria
Agraria,AGA704_2,Producción cunícula,2,Ciclo Grado Medio,Técnico en Producción Agropecuaria
Agraria,AGA003_3,Jardinería y restauración del paisaje,3,Ciclo Grado Superior,Técnico Superior en Paisajismo y Medio Rural
Agraria,AGA169_3,Cría de caballos,3,Ciclo Grado Superior,Técnico Superior en Ganadería y Asistencia en Sanidad Animal
Agraria,AGA228_3,Gestión de repoblaciones forestales y de tratamientos silvícolas,3,Ciclo Grado Superior,"Técnico Superior en Gestión Forestal y del Medio Natural
Técnico Superior en Paisajismo y Medio Rural"
Agraria,AGA346_3,Gestión de la instalación y mantenimiento de céspedes en campos deportivos,3,Ciclo Grado Superior,Técnico Superior en Paisajismo y Medio Rural
Agraria,AGA347_3,Gestión de la producción agrícola,3,Ciclo Grado Superior,Técnico Superior en Paisajismo y Medio Rural
Agraria,AGA462_3,Gestión de aprovechamientos forestales,3,Ciclo Grado Superior,Técnico Superior en Gestión Forestal y del Medio Natural
Agraria,AGA465_3,Gestión de la producción ganadera,3,Ciclo Grado Superior,Técnico Superior en Ganadería y Asistencia en Sanidad Animal
Agraria,AGA466_3 ,Gestión de los aprovechamientos cinegético-piscícolas,3,Ciclo Grado Superior,Técnico Superior en Gestión Forestal y del Medio Natural
Agraria,AGA625_3,Asistencia a la gestión y control sanitario de animales de granja y producción,3,Ciclo Grado Superior,Técnico Superior en Ganadería y Asistencia en Sanidad Animal
Agraria,,,,,
Artes Gráficas,ARG072_2,Impresión en offset,2,Ciclo Grado Medio,Técnico en Impresión Gráfica
Artes Gráficas,ARG151_2,Impresión digital,2,Ciclo Grado Medio,"Técnico en Impresión Gráfica
Técnico en Preimpresión Digital"
Artes Gráficas,ARG291_2,Tratamiento y maquetación de elementos gráficos en preimpresión,2,Ciclo Grado Medio,Técnico en Preimpresión Digital
Artes Gráficas,ARG417_2,Impresión en flexografía,2,Ciclo Grado Medio,"Técnico en Impresión Gráfica
Técnico en Postimpresión y Acabados Gráficos"
Artes Gráficas,ARG513_3,Gestión de la producción en encuadernación industrial,3,Ciclo Grado Superior,Técnico Superior en Diseño y Gestión de la Producción Gráfica
Artes Gráficas,ARG514_3,Gestión de la producción en procesos de impresión,3,Ciclo Grado Superior,Técnico Superior en Diseño y Gestión de la Producción Gráfica
Comercio y Marketing,COM411_1,Actividades auxiliares de almacén,1,Ciclo Grado Básico,Técnico Básico en Servicios Comerciales
Comercio y Marketing,COM412_1,Actividades auxiliares de comercio,1,Ciclo Grado Básico,"Técnico Básico en Servicios Comerciales
Técnico Básico en Servicios Administrativos"
Comercio y Marketing,COM085_2,Actividades de venta,2,Ciclo Grado Medio,Técnico en Actividades Comerciales
Comercio y Marketing,COM631_2,Actividades de gestión del pequeño comercio,2,Ciclo Grado Medio,"Técnico en Actividades Comerciales
Técnico en Comercialización de Productos Alimentarios"
Comercio y Marketing,COM086_3,Gestión administrativa y financiera del comercio internacional,3,Ciclo Grado Superior,"Técnico  Superior en Comercio Internacional
Técnico Superior en Transporte y Logística"
Comercio y Marketing,COM087_3,"Atención al cliente, consumidor o usuario",3,Ciclo Grado Superior,Técnico Superior en Marketing y Publicidad
Comercio y Marketing,COM088_3,Tráfico de mercancías por carretera,3,Ciclo Grado Superior,Técnico Superior en Transporte y Logística
Comercio y Marketing,COM158_3,Implantación y animación de espacios comerciales,3,Ciclo Grado Superior,Técnico Superior en Gestión de Ventas y Espacios Comerciales
Comercio y Marketing,COM312_3,Asistencia a la investigación de mercados,3,Ciclo Grado Superior,Técnico Superior en Marketing y Publicidad
Comercio y Marketing,COM314_3,Gestión comercial de ventas,3,Ciclo Grado Superior,Técnico Superior en Gestión de Ventas y Espacios Comerciales
Comercio y Marketing,COM315_3,Gestión y control del aprovisionamiento,3,Ciclo Grado Superior,"Técnico Superior en Gestión de Ventas y Espacios Comerciales
Técnico Superior en Transporte y Logística"
Comercio y Marketing,COM316_3,Marketing y compraventa internacional,3,Ciclo Grado Superior,Técnico  Superior en Comercio Internacional
Comercio y Marketing,COM318_3,Organización y gestión de almacenes,3,Ciclo Grado Superior,"Técnico  Superior en Comercio Internacional
Técnico Superior en Gestión de Ventas y Espacios Comerciales
Técnico Superior en Transporte y Logística"
Comercio y Marketing,COM651_3,Gestión comercial y financiera del transporte por carretera,3,Ciclo Grado Superior,"Técnico Superior en Transporte y Logística
Técnico Superior en Comercio Internacional
Técnico Superior en Gestión de Ventas y Espacios Comerciales
Técnico SUperior en Marketing y Publicidad"
Comercio y Marketing,COM652_3,Gestión de marketing y comunicación,3,Ciclo Grado Superior,Técnico Superior en Marketing y Publicidad
Comercio y Marketing,COM707_3,Dinamización de redes sociales y estrategia de contenidos digitales,3,Curso de Especialización,Redacción de contenidos digitales para marketing y ventas
Edificación y Obra Civil,EOC271_1,Operaciones auxiliares de albañilería de fábricas y cubiertas,1,Ciclo Grado Básico,Técnico Básico en Reforma y Mantenimiento de Edificios
