Familia profesional,Código QP,Cualificación profesional,Código y cualificación,Nivel
Actividades Físicas y Deportivas,AFD500_1,Operaciones  auxiliares en la organización de actividades y funcionamiento de instalaciones deportivas,AFD500_1 Operaciones  auxiliares en la organización de actividades y funcionamiento de instalaciones deportivas,1
Actividades Físicas y Deportivas,AFD096_2,Socorrismo en instalaciones acuáticas,AFD096_2 Socorrismo en instalaciones acuáticas,2
Actividades Físicas y Deportivas,AFD159_2,Guía por itinerarios de baja y media montaña,AFD159_2 Guía por itinerarios de baja y media montaña,2
Actividades Físicas y Deportivas,AFD160_2,Guía por itinerarios en bicicleta y vehículos de movilidad personal,AFD160_2 Guía por itinerarios en bicicleta y vehículos de movilidad personal,2
Actividades Físicas y Deportivas,AFD340_2,Socorrismo en espacios acuáticos naturales,AFD340_2 Socorrismo en espacios acuáticos naturales,2
Actividades Físicas y Deportivas,AFD097_3,Acondicionamiento físico en sala de entrenamiento polivalente,AFD097_3 Acondicionamiento físico en sala de entrenamiento polivalente,3
Actividades Físicas y Deportivas,AFD162_3,Acondicionamiento físico en grupo con soporte musical,AFD162_3 Acondicionamiento físico en grupo con soporte musical,3
Actividades Físicas y Deportivas,AFD341_3,Actividades de natación,AFD341_3 Actividades de natación,3
Actividades Físicas y Deportivas,AFD509_3,Animación físico-deportiva y recreativa,AFD509_3 Animación físico-deportiva y recreativa,3
Actividades Físicas y Deportivas,AFD510_3,Animación físico-deportiva y recreativa para personas con discapacidad,AFD510_3 Animación físico-deportiva y recreativa para personas con discapacidad,3
Actividades Físicas y Deportivas,AFD511_3,Acondicionamiento físico en el medio acuático,AFD511_3 Acondicionamiento físico en el medio acuático,3
Actividades Físicas y Deportivas,AFD539_3,Coordinación de servicios de socorrismo en instalaciones y espacios naturales acuáticos,AFD539_3 Coordinación de servicios de socorrismo en instalaciones y espacios naturales acuáticos,3
Actividades Físicas y Deportivas,AFD616_3,Instrucción en yoga,AFD616_3 Instrucción en yoga,3
Administración y Gestión,ADG305_1,Operaciones auxiliares de servicios administrativos y generales,ADG305_1 Operaciones auxiliares de servicios administrativos y generales,1
Administración y Gestión,ADG306_1,Operaciones de grabación y tratamiento de datos y documentos,ADG306_1 Operaciones de grabación y tratamiento de datos y documentos,1
Administración y Gestión,ADG307_2,Actividades administrativas de recepción y relación con el cliente,ADG307_2 Actividades administrativas de recepción y relación con el cliente,2
Administración y Gestión,ADG308_2,Actividades de gestión administrativa,ADG308_2 Actividades de gestión administrativa,2
Administración y Gestión,ADG082_3,Gestión contable y de auditoría,ADG082_3 Gestión contable y de auditoría,3
Administración y Gestión,ADG084_3,Administración de recursos humanos,ADG084_3 Administración de recursos humanos,3
Administración y Gestión,ADG157_3,Gestión financiera,ADG157_3 Gestión financiera,3
Administración y Gestión,ADG309_3,Asistencia a la dirección,ADG309_3 Asistencia a la dirección,3
Administración y Gestión,ADG310_3,Asistencia documental y de gestión en despachos y oficinas,ADG310_3 Asistencia documental y de gestión en despachos y oficinas,3
Administración y Gestión,ADG543_3,Asistencia en la gestión de los procedimientos tributarios,ADG543_3 Asistencia en la gestión de los procedimientos tributarios,3
Administración y Gestión,ADG544_3,Creación y gestión de microempresas,ADG544_3 Creación y gestión de microempresas,3
Agraria,AGA163_1,Actividades auxiliares en agricultura,AGA163_1 Actividades auxiliares en agricultura,1
Agraria,AGA164_1,"Actividades auxiliares en viveros, jardines y centros de jardinería","AGA164_1 Actividades auxiliares en viveros, jardines y centros de jardinería",1
Agraria,AGA224_1,Actividades auxiliares en ganadería,AGA224_1 Actividades auxiliares en ganadería,1
Agraria,AGA342_1,Actividades auxiliares en floristería,AGA342_1 Actividades auxiliares en floristería,1
Agraria,AGA398_1,Actividades auxiliares en aprovechamientos forestales,AGA398_1 Actividades auxiliares en aprovechamientos forestales,1
Agraria,AGA399_1,Actividades auxiliares en conservación y mejora de montes,AGA399_1 Actividades auxiliares en conservación y mejora de montes,1
Agraria,AGA002_2,Producción porcina intensiva,AGA002_2 Producción porcina intensiva,2
Agraria,AGA165_2,Cultivos herbáceos,AGA165_2 Cultivos herbáceos,2
Agraria,AGA166_2,Cultivos leñosos,AGA166_2 Cultivos leñosos,2
Agraria,AGA167_2,Horticultura y floricultura,AGA167_2 Horticultura y floricultura,2
Agraria,AGA168_2,Instalación y mantenimiento de jardines y zonas verdes,AGA168_2 Instalación y mantenimiento de jardines y zonas verdes,2
Agraria,AGA225_2,Agricultura ecológica,AGA225_2 Agricultura ecológica,2
Agraria,AGA227_2,Ganadería ecológica,AGA227_2 Ganadería ecológica,2
Agraria,AGA343_2,Aprovechamientos forestales,AGA343_2 Aprovechamientos forestales,2
Agraria,AGA345_2,Repoblaciones forestales y tratamientos silvícolas,AGA345_2 Repoblaciones forestales y tratamientos silvícolas,2
Agraria,AGA457_2,Actividades de floristería,AGA457_2 Actividades de floristería,2
Agraria,AGA458_2,Mantenimiento y mejora del hábitat cinegético-piscícola,AGA458_2 Mantenimiento y mejora del hábitat cinegético-piscícola,2
Agraria,AGA460_2,Producción de semillas y plantas en vivero,AGA460_2 Producción de semillas y plantas en vivero,2
Agraria,AGA546_2,Apicultura,AGA546_2 Apicultura,2
Agraria,AGA624_2,"Cuidados de animales salvajes, de zoológicos y acuarios","AGA624_2 Cuidados de animales salvajes, de zoológicos y acuarios",2
Agraria,AGA683_2,Producción intensiva de bovinos,AGA683_2 Producción intensiva de bovinos,2
Agraria,AGA703_2,Producción avícola,AGA703_2 Producción avícola,2
Agraria,AGA704_2,Producción cunícula,AGA704_2 Producción cunícula,2
Agraria,AGA003_3,Jardinería y restauración del paisaje,AGA003_3 Jardinería y restauración del paisaje,3
Agraria,AGA169_3,Cría de caballos,AGA169_3 Cría de caballos,3
Agraria,AGA228_3,Gestión de repoblaciones forestales y de tratamientos silvícolas,AGA228_3 Gestión de repoblaciones forestales y de tratamientos silvícolas,3
Agraria,AGA346_3,Gestión de la instalación y mantenimiento de céspedes en campos deportivos,AGA346_3 Gestión de la instalación y mantenimiento de céspedes en campos deportivos,3
Agraria,AGA347_3,Gestión de la producción agrícola,AGA347_3 Gestión de la producción agrícola,3
Agraria,AGA348_3,Gestión y mantenimiento de árboles y palmeras ornamentales,AGA348_3 Gestión y mantenimiento de árboles y palmeras ornamentales,3
Agraria,AGA461_3,Arte floral y gestión de las actividades de floristería,AGA461_3 Arte floral y gestión de las actividades de floristería,3
Agraria,AGA462_3,Gestión de aprovechamientos forestales,AGA462_3 Gestión de aprovechamientos forestales,3
Agraria,AGA464_3,Gestión de la producción de semillas y plantas en vivero,AGA464_3 Gestión de la producción de semillas y plantas en vivero,3
Agraria,AGA465_3,Gestión de la producción ganadera,AGA465_3 Gestión de la producción ganadera,3
Agraria,AGA466_3 ,Gestión de los aprovechamientos cinegético-piscícolas,AGA466_3  Gestión de los aprovechamientos cinegético-piscícolas,3
Agraria,AGA488_3,Asistencia a la atención clínica en centros veterinarios,AGA488_3 Asistencia a la atención clínica en centros veterinarios,3
Agraria,AGA625_3,Asistencia a la gestión y control sanitario de animales de granja y producción,AGA625_3 Asistencia a la gestión y control sanitario de animales de granja y producción,3
Artes Gráficas,ARG072_2,Impresión en offset,ARG072_2 Impresión en offset,2
Artes Gráficas,ARG151_2,Impresión digital,ARG151_2 Impresión digital,2
Artes Gráficas,ARG288_2,Imposición y obtención de la forma impresora,ARG288_2 Imposición y obtención de la forma impresora,2
Artes Gráficas,ARG291_2,Tratamiento y maquetación de elementos gráficos en preimpresión,ARG291_2 Tratamiento y maquetación de elementos gráficos en preimpresión,2
Artes Gráficas,ARG417_2,Impresión en flexografía,ARG417_2 Impresión en flexografía,2
Artes Gráficas,ARG418_2,Impresión en huecograbado,ARG418_2 Impresión en huecograbado,2
Artes Gráficas,ARG419_2,Impresión en serigrafía y tampografía,ARG419_2 Impresión en serigrafía y tampografía,2
Artes Gráficas,ARG219_3,Diseño de productos gráficos,ARG219_3 Diseño de productos gráficos,3
Artes Gráficas,ARG292_3,Asistencia a la edición,ARG292_3 Asistencia a la edición,3
Artes Gráficas,ARG513_3,Gestión de la producción en encuadernación industrial,ARG513_3 Gestión de la producción en encuadernación industrial,3
Artes Gráficas,ARG514_3,Gestión de la producción en procesos de impresión,ARG514_3 Gestión de la producción en procesos de impresión,3
Artes Gráficas,ARG515_3,Gestión de la producción en procesos de preimpresión,ARG515_3 Gestión de la producción en procesos de preimpresión,3
Artes Gráficas,ARG516_3,"Gestión de la producción en transformados de papel, cartón y otros soportes gráficos","ARG516_3 Gestión de la producción en transformados de papel, cartón y otros soportes gráficos",3
Comercio y Marketing,COM411_1,Actividades auxiliares de almacén,COM411_1 Actividades auxiliares de almacén,1
